,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class,norm_Amount,norm_Time
541,-2.3122265423262998,1.9519920106415802,-1.6098507322976898,3.9979055875468,-0.522187864667764,-1.4265453192059498,-2.5373873062457903,1.39165724829804,-2.77008927719433,-2.7722721446591496,3.20203320709635,-2.89990738849473,-0.595221881324605,-4.28925378244217,0.38972412027448705,-1.14074717980657,-2.83005567450437,-0.0168224681808257,0.4169557050379071,0.126910559061474,0.517232370861764,-0.0350493686052974,-0.46521107618238794,0.320198198514526,0.0445191674731724,0.177839798284401,0.26114500256767703,-0.143275874698919,1,-0.35322939296682354,-1.9880335064229064
623,-3.0435406239976,-3.1573071209022796,1.08846277997285,2.2886436183814,1.35980512966107,-1.06482252298131,0.325574266158614,-0.0677936531906277,-0.270952836226548,-0.838586564582682,-0.41457544828572496,-0.503140859566824,0.6765015446358629,-1.6920289330590599,2.00063483909015,0.6667796959019661,0.599717413841732,1.7253210074551397,0.283344830149495,2.10233879259444,0.661695924845707,0.435477208966341,1.3759657425430603,-0.29380315273402097,0.279798031841214,-0.145361714815161,-0.252773122530705,0.0357642251788156,1,1.761758203626355,-1.9866436834567416
4920,-2.3033495675855296,1.7592474602669999,-0.35974474333005196,2.33024305053917,-0.8216283283754221,-0.0757875706194599,0.562319782266954,-0.399146578487216,-0.23825336766174599,-1.52541162656194,2.03291215755072,-6.56012429505962,0.0229373234890961,-1.47010153611197,-0.698826068579047,-2.2821938285625096,-4.78183085597533,-2.61566494476124,-1.33444106667307,-0.43002186717161106,-0.294166317554753,-0.9323910572749909,0.172726295799422,-0.0873295379700724,-0.15611426465117198,-0.542627889040196,0.0395659889264757,-0.153028796529788,1,0.6060314275447102,-1.9026225677749584
6108,-4.39797444171999,1.3583670283975802,-2.5928442182572997,2.67978696694832,-1.12813094208956,-1.70653638774951,-3.49619729302467,-0.248777743025673,-0.24776789948007996,-4.80163740602813,4.895844223475231,-10.912819319401901,0.18437168583438698,-6.77109672468083,-0.00732618257771211,-7.358083221323461,-12.5984185405511,-5.13154862842983,0.30833394575869105,-0.17160787864795998,0.573574068424352,0.17696771804819503,-0.436206883597401,-0.0535018648884285,0.252405261951833,-0.657487754764504,-0.827135714578603,0.8495733799857679,1,-0.11734230752448417,-1.8494723682810184
6329,1.2342350461346798,3.0197404207033998,-4.304596884796649,4.73279513041887,3.62420083055386,-1.35774566315358,1.7134449878723501,-0.496358487073991,-1.28285782036322,-2.44746925511151,2.10134386504854,-4.6096283906446,1.4643776247618798,-6.0793371930800495,-0.3392373727325769,2.58185095378146,6.7393843847833494,3.0424931783041096,-2.72185312222835,0.00906083639534526,-0.37906830709218003,-0.704181032215427,-0.656804756348389,-1.63265295692929,1.4889014483823702,0.5667972734689339,-0.0100162234965625,0.14679273491698802,1,-0.3492313067728856,-1.8382484949330509
6331,0.008430364895582541,4.13783683497998,-6.24069657194744,6.675732163134401,0.7683070245714492,-3.35305954788994,-1.6317346727180901,0.15461244822474,-2.7958924644628103,-6.1878906297064695,5.66439470857116,-9.854484822870369,-0.306166658250084,-10.6911962118171,-0.6384981926733221,-2.04197379107768,-1.12905587703585,0.116452521226364,-1.93466573889727,0.488378221134715,0.36451420978479,-0.6080571338387031,-0.5395279418200929,0.128939982991813,1.48848121006868,0.50796267782385,0.7358216361196619,0.513573740679437,1,-0.3492313067728856,-1.8381010894669423
6334,0.0267792264491516,4.132463897130029,-6.5605999680965805,6.3485566731398295,1.32966566904142,-2.51347884762413,-1.6891022003132798,0.30325280054758896,-3.13940905736457,-6.045467797788009,6.75462544809695,-8.94817857893317,0.7027249980998729,-10.733854103230598,-1.3795198568171798,-1.63896011485587,-1.74635013628103,0.776744097926754,-1.3273566354901498,0.5877432190064069,0.37050865149325296,-0.5767524731743299,-0.6696053717662379,-0.7599075295386178,1.6050555501746202,0.5406753964288991,0.7370403816839771,0.49669910816833707,1,-0.3492313067728856,-1.8379115681533744
6336,0.32959433331822197,3.71288929524103,-5.77593510831666,6.07826550560828,1.66735901311948,-2.4201684135156203,-0.8128912494913331,0.133080117970748,-2.2143113120496096,-5.13445447110633,4.560720105502231,-8.87374836164535,-0.7974835996284741,-9.177166370091461,-0.25702477514424,-0.871688490451564,1.31301362907797,0.773913872552923,-2.37059945059811,0.269772775978284,0.156617169389793,-0.652450440932299,-0.551572219392364,-0.716521635357197,1.4157166150892202,0.5552647397875821,0.530507388890912,0.40447405452871205,1,-0.3492313067728856,-1.8377431047635362
6338,0.316459000444982,3.80907594667829,-5.61515901119457,6.0474451021647795,1.55402595692572,-2.6513531120137004,-0.7465792731002221,0.0555863112529252,-2.6786785422398998,-4.9594929116149595,6.43905335158373,-7.52011739288703,0.38635166741077,-9.25230724747513,-1.36518841502051,-0.502362190618164,0.7844265981542741,1.49430460743838,-1.8080121586735702,0.388307428238927,0.20882836900167398,-0.5117466192007221,-0.5838132208137231,-0.219845029091423,1.4747525844068798,0.49119192565600606,0.5188682845772871,0.40252806767232,1,-0.3492313067728856,-1.8375746413736982
6427,0.725645739819857,2.3008944377660296,-5.32997618300917,4.007682804682,-1.73041059025206,-1.73219256822244,-3.96859261813707,1.06372815344105,-0.48609655234483296,-4.62498495406596,5.5887239146762,-7.14824263637845,1.68045074096412,-6.210257746610281,0.495282117814298,-3.5995402092184,-4.83032424210571,-0.649090120211694,2.2501232487881,0.504646226103286,0.589669127323198,0.10954131922991302,0.601045276521079,-0.36470027822003903,-1.8430776921519398,0.351909298434892,0.5945499780864639,0.0993722360416487,1,-0.3492313067728856,-1.8363322238736417
